Image,,Item,,,,,,,,Artist,,,,Location,,,,,Organizational Donor,Individual Donor,,Fabrication,,,,
File,Photo Credit,Name,Material,Genre,Installation Start Date,Installation End Date,Height,Width,Depth,First Name,Last Name,Birth Date,Deceased Date,Neighborhood,Street Address,Latitude,Longitude,Current,Name,First Name,Last Name,Date,Fabricator,City,State,Country
,,Double Gamut,"Painted aluminum, bronze, copper",Sculpture,1991,,,,,Paul,Daniel,1950,,,,,,,,,,,,,,
,,Kiko-Cy,Steel and Aluminum,Sculpture,2007,,288,288,,Paul,Daniel,1950,,,,,,,,,,,,,,
