Item,,,,,,,,,Image,Image Version,,Artist,,,,,Location,,,,,Organizational Donor,Individual Donor,,Fabrication,,,,,Bibliography
Name,Material,Genre,Installation Start Date,Installation End Date,Height,Width,Depth,Context,File,File,Version,First Name,Last Name,Birth Date,Deceased Date,Artist Bio,Neighborhood,Street Address,Latitude,Longitude,Current,Name,First Name,Last Name,Date,Fabricator,City,State,Country,
Baltimore Federal,Painted Aluminum,Sculpture,19760000,19780000,540,648,216,,,,,George,Sugarman,19120000,19990000,,Downtown West,"Edward A. Garmatz Federal Building, 101 W. Lombard St.",39.286863,-76.61705460000002,true,U.S. Federal Goverment (General Services Administration),,,,,,,,"IAS 75002802, 20140807, http://siris-artinventories.si.edu/ipac20/ipac.jsp?session=14B7G32633K26.702&profile=ariall&source=~!siartinventories&view=subscriptionsummary&uri=full=3100001~!5153~!1&ri=15&aspect=Keyword&menu=search&ipp=20&spp=20&staffonly=&term=Sugarman&index=.AW&uindex=&oper=&term=Baltimore&index=.TW&uindex=&aspect=Keyword&menu=search&ri=15"
Fan Figure,Polished Stainless Steel,Sculpture,,19870000,300,156,156,,,,,Greg,Moring,19490000,,,Downtown West,"Convention Center, 1 W. Pratt",39.285605,-76.61637539999998,true,Baltimore Development Corporation,,,,,,,,"IAS MD000218, 20140807, http://siris-artinventories.si.edu/ipac20/ipac.jsp?session=14B7G32633K26.702&profile=ariall&source=~!siartinventories&view=subscriptionsummary&uri=full=3100001~!329694~!2&ri=18&aspect=Keyword&menu=search&ipp=20&spp=20&staffonly=&term=Moring&index=.AW&uindex=&aspect=Keyword&menu=search&ri=18"
Red Bouyant,Painted Aluminum,Sculpture,,19780000,144,240,204,,,,,Mary Ann,Mears,19460000,,,Inner Harbor,"IBM Building Plaza, 100 E. Pratt",39.2872198,-76.6129075,true,Baltimore Development Corporation,,,,,,,,"IAS 87800012, 20140807, http://siris-artinventories.si.edu/ipac20/ipac.jsp?session=14B7G32633K26.702&menu=search&aspect=Keyword&npp=50&ipp=20&spp=20&profile=ariall&ri=&source=~!siartinventories&term=&index=.GW&x=12&y=7&aspect=Keyword&term=Mears&index=.AW&term=Red&index=.TW&term=&index=.SW&term=&index=.FW&term=&index=.OW&term=&index=.NW"
Triaxial Link,Concrete,Sculpture,,20040000,,,,,,,,William,Niebauer,19740000,,,Inner Harbor,"Baltimore Visitor Center, 401 Light St",39.283911,-76.6122758,,Baltimore City Percent for Art program,,,,,,,,
King Penguin,Marble,Sculpture,,19560000,41,12,10,,,,,Grace Hill,Turnbull,18800000,19760000,,Inner Harbor,"Inner Harbor Pomenade, 561 Light St.",39.283347,76.611839,true,Penguin Books,,,,,,,,"IAS MD000237, 20140807, http://siris-artinventories.si.edu/ipac20/ipac.jsp?session=14B7G32633K26.702&menu=search&aspect=Keyword&npp=50&ipp=20&spp=20&profile=ariall&ri=&source=~!siartinventories&term=&index=.GW&x=0&y=0&aspect=Keyword&term=Turnbull&index=.AW&term=King&index=.TW&term=&index=.SW&term=&index=.FW&term=&index=.OW&term=&index=.NW"
Easy Landing,Stainless Steel,Sculpture,,19770000,288,864,600,,,,,Kenneth,Snelson,19270000,,,Inner Harbor,"Inner Harbor Promenade, 601 Light St.",39.2812561,-76.6118841,true,Baltimore City Department of Housing and Community Development,,,,,,,,"IAS 87800001, 20140807, http://siris-artinventories.si.edu/ipac20/ipac.jsp?session=14B7G32633K26.702&menu=search&aspect=Keyword&npp=50&ipp=20&spp=20&profile=ariall&ri=&source=~!siartinventories&term=&index=.GW&x=13&y=11&aspect=Keyword&term=Snelson&index=.AW&term=Easy&index=.TW&term=&index=.SW&term=&index=.FW&term=&index=.OW&term=&index=.NW"
Under Sky/One Family,Steel,Sculpture,,19800000,70,36,78,,,,,Mark,di Suvero,19330000,,,Inner Harbor,401 E. Pratt,39.2860269,-76.6096483,true,"National Endowment for the Arts, Art in Public Places program",,,,,,,,"IAS 87800008, 20140807, http://siris-artinventories.si.edu/ipac20/ipac.jsp?session=14B7G32633K26.702&menu=search&aspect=Keyword&npp=50&ipp=20&spp=20&profile=ariall&ri=&source=~!siartinventories&term=&index=.GW&x=12&y=11&aspect=Keyword&term=di+Suvero&index=.AW&term=Under&index=.TW&term=&index=.SW&term=&index=.FW&term=&index=.OW&term=&index=.NW"
Family of Dolphins,Bronze,Sculpture,,19910000,58,144,228,,,,,Leonard,Streckfus,19510000,,,Inner Harbor,"National Aquarium, 501 E. Pratt",39.2857182,-76.6082945,true,National Aquarium,,,,AR & T ARTS RESEARCH & TECHNOLOGY,Lancaster,PA,U.S.,"IAS MD000558, 20140807, http://siris-artinventories.si.edu/ipac20/ipac.jsp?session=14B7G32633K26.702&profile=ariall&source=~!siartinventories&view=subscriptionsummary&uri=full=3100001~!338628~!1&ri=36&aspect=Keyword&menu=search&ipp=20&spp=20&staffonly=&term=Streckfus&index=.AW&uindex=&aspect=Keyword&menu=search&ri=36"
Family of Dolphins,,,,,,,,,,,,,,,,,,,,,,,,,,The Fountain People Inc.,San Marcos,TX ,U.S.,
Columbus Monument,Marble,Monument,,19840000,,,,,,,,Mauro,Bigarani,19400000,,,Inner Harbor,"Columbus Piazza, Fawn and South President St.",39.2857966,-76.6031553,true,The Italian American Organization United of Maryland and the Italian American community of Baltimore,,,,,,,Italy,
National Katyn Memorial,Bronze,Monument,,20000000,528,,,,,,,Andrezj,Pitynski,19470000,,,Inner Harbor,Katyn Circle at President and Aliceanna Streets,39.2830539,-76.6018082,true,National Katyn Memorial Committee,,,,,,,Poland,
Untitled 3,Pink Tennessee Marble,Sculpture,19760915,19761130,48,80,53,"Fabricated in place at the Shot tower over the course of the Symposium, relocated to current position in early 1990's",,,,Hiroshi,Mikami,19440000,,,Inner Harbor,"Commerce Street Park, Lombard and Commerce Streets",39.2878467,-76.61010729,true,International Sculputure Symposium of Baltimore and City of Baltimore,,,,,,,,"IAS MD000228, 20140807, http://siris-artinventories.si.edu/ipac20/ipac.jsp?session=14H744549390C.796&menu=search&aspect=Keyword&npp=50&ipp=20&spp=20&profile=ariall&ri=&source=~!siartinventories&term=&index=.GW&x=10&y=9&aspect=Keyword&term=Mikami&index=.AW&term=&index=.TW&term=&index=.SW&term=&index=.FW&term=&index=.OW&term=&index=.NW"
Untitled 4,Painted Steel,Sculpture,,19820000,99,96,96,,,,,Greg,Moring,19490000,,,Inner Harbor,"Commerce Street Park, Lombard and Commerce Streets",39.2878467,-76.61010729,true,,Greg,Moring,,,,,,"IAS MD000475, 20140807, http://siris-artinventories.si.edu/ipac20/ipac.jsp?session=14H744549390C.796&profile=ariall&source=~!siartinventories&view=subscriptionsummary&uri=full=3100001~!337214~!4&ri=4&aspect=Keyword&menu=search&ipp=20&spp=20&staffonly=&term=Moring&index=.AW&uindex=&aspect=Keyword&menu=search&ri=4"
